Route,VRH,VRM,PV,O_and_M,O_and_M_per_hr
1,67.81666667,1189.402,6,3701852.086,181.9538995
2,58.46666667,1020.387,6,3343066.516,190.5967227
4,27.55,351.923,3,1547109.114,187.1880356
6,33.31666667,316.359,4,1889065.462,189.0010467
7,5.266666667,67.482,1,375225.376,237.4844152
8,95.35,1141.401,11,5433502.218,189.9493871
11,19.8,194.601,3,1241656.668,209.0331091
12,48.56666667,761.79,4,2553700.42,175.2711338
13,58.2,817.818,5,3054185.424,174.9247093
14,59.13333333,1228.947,7,3646716.596,205.5646334
15,33.23333333,332.191,4,1893982.088,189.9681131
16,76.95,981.876,7,4064037.318,176.0466674
17,49.25,601.325,4,2499043.35,169.1399898
18,5.166666667,69.386,1,373125.148,240.7259019
19L,15.03333333,203.823,4,1289489.264,285.9177969
20,34.18333333,706.996,4,2097808.178,204.564425
21,47.7,779.442,4,2536036.956,177.2213107
22,25.23333333,438.174,3,1518176.132,200.5516687
24,42.55,745.03,5,2551982.19,199.9202656
26,34.6,495.195,4,2011149.06,193.7523179
27,34.43333333,541.146,4,2027668.628,196.2893154
28X,88.91666667,2169.793,6,4791839.374,179.6378397
29,45.26666667,795.542,5,2656885.456,195.6469408
31,64.31666667,840.107,7,3619788.526,187.6024113
36,26.98333333,425.802,3,1564733.786,193.2963294
38,82.35,1244.093,13,5464897.074,221.2061151
39,49.81666667,563.408,11,3800962.894,254.3300698
40,25.86666667,272.496,4,1645685.728,212.0729031
41,60.23333333,854.388,7,3504327.284,193.9306743
43,19.66666667,224.642,2,1065625.456,180.6144841
44,55.85,743.136,4,2762836.698,164.8962517
48,52.53333333,538.603,5,2754005.804,174.7465612
51,159.1,1989.073,17,8853778.464,185.4971394
51L,11.81666667,122.263,6,1527303.034,430.8330137
52L,14.06666667,218.452,5,1453521.736,344.4364303
53L,58.75,919.108,9,3862449.294,219.1460592
54,123.5833333,1296.333,8,5792248.093,156.2305622
55,51.71666667,1013.561,4,2765755.198,178.2633063
56,53.08333333,931.534,6,3140451.662,197.2026161
57,39.05,545.052,4,2167594.986,185.0273142
58,38.03333333,498.004,4,2115164.972,185.3781746
59,83.8,1297.757,5,4044569.676,160.8818487
60,14.4,170.232,1,696517.776,161.2309667
61A,115.2166667,1349.928,11,6125364.455,177.2129163
61B,96.3,1158.816,9,5097865.788,176.4577981
61C,125.3333333,1712.453,11,6597646.003,175.4693086
61D,110.6666667,1265.199,12,6135709.133,184.810516
64,63,757.2,5,3169398.6,167.6930476
65,10.66666667,130.546,3,938473.5281,293.2729774
67,71.3,1013.58,10,4468172.34,208.8907125
69,64.86666667,980.503,9,4074150.004,209.3602263
71,7.116666667,91.511,1,441809.998,206.9367672
71A,94.56666667,906.002,8,4741597.636,167.1342135
71B,88.21666667,903.615,8,4550532.97,171.9453229
71C,108.4333333,1078.847,9,5423384.695,166.7194804
71D,97.53333333,1079.783,8,4911669.044,167.8629202
74,99,544.11,3,3774336.48,127.0820364
75,83.38333333,1020.314,10,4832772.602,193.1949871
77,78.48333333,1254.539,6,4051408.202,172.0708516
79,33.03333333,511.532,4,1971931.076,198.9839633
81,38.63333333,399.072,3,1900710.596,163.9957374
82,72.71666667,759.573,5,3461163.814,158.6598127
83,48.96666667,471.537,4,2429827.216,165.4068901
86,67.25,760.455,5,3298052.19,163.4722275
87,61.85,805.204,10,4087974.522,220.3166005
88,59.43333333,654.378,5,3014588.204,169.0739318
89,13.35,157.182,1,659001.726,164.5447506
91,112.5166667,1529.166,12,6314584.739,187.0710928
93,59,710.391,5,3027839.988,171.0644061
G2,77.03333333,1416.78,10,4828371.14,208.9299498
G3,29.78333333,797.576,8,2752990.418,308.1130854
G31,21,322.27,7,2081709.36,330.4300571
O1,16.55,283.099,3,1185856.482,238.8431988
O12,30.73333333,649.981,9,2898435.308,314.3639163
O5,4.816666667,100.713,2,563418.634,389.9090893
P1,102.0666667,2408.851,21,8088604.469,264.1608252
P10,24.21666667,554.239,8,2472593.002,340.3431523
P12,36.7,831.415,11,3534031.32,320.9837711
P13,10.45,204.407,3,966559.326,308.3123847
P16,31.28333333,551.531,9,2868812.858,305.6806455
P17,10.15,156.52,2,749072.31,246.0007586
P2,14.63333333,308.014,7,1884591.452,429.2919026
P3,52.51666667,942.1,9,3686751.85,234.0051952
P67,14.8,310.745,5,1518651.06,342.038527
P68,41.51666667,761.494,6,2714879.242,217.9750495
P69,8.266666667,151.976,4,1062813.568,428.5538581
P7,24.71666667,488.504,5,1898479.522,256.0323023
P71,15.3,258.697,6,1695351.096,369.3575373
P76,26.58333333,536.03,13,3465375.29,434.529817
P78,43.21666667,830.401,7,2984081.818,230.1644287
Y1,17.41666667,274.618,8,2138321.974,409.2482246
Y45,10.58333333,149.958,3,945065.5939,297.6584549
Y46,68.73333333,1248.416,7,3942992.888,191.2217695
Y47,40.48333333,656.473,4,2262615.314,186.3001494
Y49,42.63333333,649.848,5,2509929.764,196.2415766