Route,VRH,VRM
001,67.81666667,1189.402
002,58.46666667,1020.387
004,27.55,351.923
006,33.31666667,316.359
007,5.266666667,67.482
008,95.35,1141.401
011,19.8,194.601
012,48.56666667,761.79
013,58.2,817.818
014,59.13333333,1228.947
015,33.23333333,332.191
016,76.95,981.876
017,49.25,601.325
018,5.166666667,69.386
019L,15.03333333,203.823
020,34.18333333,706.996
021,47.7,779.442
022,25.23333333,438.174
024,42.55,745.03
026,34.6,495.195
027,34.43333333,541.146
028X,88.91666667,2169.793
029,45.26666667,795.542
031,64.31666667,840.107
036,26.98333333,425.802
038,82.35,1244.093
039,49.81666667,563.408
040,25.86666667,272.496
041,60.23333333,854.388
043,19.66666667,224.642
044,55.85,743.136
048,52.53333333,538.603
051,159.1,1989.073
051L,11.81666667,122.263
052L,14.06666667,218.452
053L,58.75,919.108
054,123.5833333,1296.333
055,51.71666667,1013.561
056,53.08333333,931.534
057,39.05,545.052
058,38.03333333,498.004
059,83.8,1297.757
060,14.4,170.232
061A,115.2166667,1349.928
061B,96.3,1158.816
061C,125.3333333,1712.453
061D,110.6666667,1265.199
064,63,757.2
065,10.66666667,130.546
067,71.3,1013.58
069,64.86666667,980.503
071,7.116666667,91.511
071A,94.56666667,906.002
071B,88.21666667,903.615
071C,108.4333333,1078.847
071D,97.53333333,1079.783
074,99,544.11
075,83.38333333,1020.314
077,78.48333333,1254.539
079,33.03333333,511.532
081,38.63333333,399.072
082,72.71666667,759.573
083,48.96666667,471.537
086,67.25,760.455
087,61.85,805.204
088,59.43333333,654.378
089,13.35,157.182
091,112.5166667,1529.166
093,59,710.391
G2,77.03333333,1416.78
G3,29.78333333,797.576
G31,21,322.27
O1,16.55,283.099
O12,30.73333333,649.981
O5,4.816666667,100.713
P1,102.0666667,2408.851
P10,24.21666667,554.239
P12,36.7,831.415
P13,10.45,204.407
P16,31.28333333,551.531
P17,10.15,156.52
P2,14.63333333,308.014
P3,52.51666667,942.1
P67,14.8,310.745
P68,41.51666667,761.494
P69,8.266666667,151.976
P7,24.71666667,488.504
P71,15.3,258.697
P76,26.58333333,536.03
P78,43.21666667,830.401
Y1,17.41666667,274.618
Y45,10.58333333,149.958
Y46,68.73333333,1248.416
Y47,40.48333333,656.473
Y49,42.63333333,649.848